##,Country Name,Continent Name
1,Algeria,Africa
2,Angola,Africa
3,Benin,Africa
4,Botswana,Africa
5,Burkina Faso,Africa
6,Burundi,Africa
7,Cameroon,Africa
8,Cape Verde,Africa
9,Central African Republic,Africa
10,Chad,Africa
11,Comoros,Africa
12,Congo,Africa
13,Democratic Republic of the Congo,Africa
14,Cote d'Ivoire,Africa
15,Djibouti,Africa
16,Egypt,Africa
17,Equatorial Guinea,Africa
18,Eritrea,Africa
19,Ethiopia,Africa
20,Gabon,Africa
21,Gambia,Africa
22,Ghana,Africa
23,Guinea,Africa
24,Guinea-Bissau,Africa
25,Kenya,Africa
26,Lesotho,Africa
27,Liberia,Africa
28,Libyan Arab Jamahiriya,Africa
29,Madagascar,Africa
30,Malawi,Africa
31,Mali,Africa
32,Mauritania,Africa
33,Mauritius,Africa
34,Morocco,Africa
35,Mozambique,Africa
36,Namibia,Africa
37,Niger,Africa
38,Nigeria,Africa
39,Rwanda,Africa
40,Sao Tome and Principe,Africa
41,Senegal,Africa
42,Seychelles,Africa
43,Sierra Leone,Africa
44,Somalia,Africa
45,South Africa,Africa
46,South Sudan,Africa
47,Sudan,Africa
48,Swaziland,Africa
49,United Republic Of Tanzania,Africa
50,Togo,Africa
51,Tunisia,Africa
52,Uganda,Africa
53,Zambia,Africa
54,Zimbabwe,Africa
55,Albania,Europe
56,Andorra,Europe
57,Austria,Europe
58,Belarus,Europe
59,Belgium,Europe
60,Bosnia and Herzegovina,Europe
61,Bulgaria,Europe
62,Croatia,Europe
63,Czech Republic,Europe
64,Denmark,Europe
65,Estonia,Europe
66,Finland,Europe
67,France,Europe
68,Germany,Europe
69,Greece,Europe
70,Holy See (Vatican City State),Europe
71,Hungary,Europe
72,Iceland,Europe
73,Ireland,Europe
74,Italy,Europe
75,Latvia,Europe
76,Liechtenstein,Europe
77,Lithuania,Europe
78,Luxembourg,Europe
79,The Former Yugoslav Republic Of Macedonia,Europe
80,Malta,Europe
81,Moldova,Europe
82,Monaco,Europe
83,Montenegro,Europe
84,Netherlands,Europe
85,Norway,Europe
86,Poland,Europe
87,Portugal,Europe
88,Romania,Europe
89,Russian Federation,Europe
90,San Marino,Europe
91,Serbia,Europe
92,Slovakia,Europe
93,Slovenia,Europe
94,Spain,Europe
95,Sweden,Europe
96,Switzerland,Europe
97,Ukraine,Europe
98,United Kingdom,Europe
99,Afghanistan,Asia
100,Armenia,Asia
101,Azerbaijan,Asia
102,Bahrain,Asia
103,Bangladesh,Asia
104,Bhutan,Asia
105,Brunei Darussalam,Asia
106,Burma,Asia
107,Cambodia,Asia
108,China,Asia
109,Cyprus,Asia
110,Georgia,Asia
111,India,Asia
112,Indonesia,Asia
113,Islamic Republic of Iran,Asia
114,Iraq,Asia
115,Israel,Asia
116,Japan,Asia
117,Jordan,Asia
118,Kazakhstan,Asia
119,Democratic People's republic of Korea,Asia
120,Republic of Korea,Asia
121,Kuwait,Asia
122,Kyrgyzstan,Asia
123,Lao People's Democratic Republic,Asia
124,Lebanon,Asia
125,Malaysia,Asia
126,Maldives,Asia
127,Mongolia,Asia
128,Nepal,Asia
129,Oman,Asia
130,Pakistan,Asia
131,Palestinian Territory,Asia
132,Philippines,Asia
133,Qatar,Asia
134,Saudi Arabia,Asia
135,Singapore,Asia
136,Sri Lanka,Asia
137,Syrian Arab Republic,Asia
138,Tajikistan,Asia
139,Thailand,Asia
140,Timor-Leste,Asia
141,Turkey,Asia
142,Turkmenistan,Asia
143,United Arab Emirates,Asia
144,Uzbekistan,Asia
145,Vietnam,Asia
146,Yemen,Asia
147,Antigua and Barbuda,North America
148,Bahamas,North America
149,Barbados,North America
150,Belize,North America
151,Canada,North America
152,Costa Rica,North America
153,Cuba,North America
154,Dominica,North America
155,Dominican Republic,North America
156,El Salvador,North America
157,Grenada,North America
158,Guatemala,North America
159,Haiti,North America
160,Honduras,North America
161,Jamaica,North America
162,Mexico,North America
163,Nicaragua,North America
164,Panama,North America
165,Saint Kitts and Nevis,North America
166,Saint Lucia,North America
167,Saint Vincent and the Grenadines,North America
168,Trinidad and Tobago,North America
169,United States,North America
170,Australia,Australia
171,Fiji,Australia
172,Kiribati,Australia
173,Marshall Islands,Australia
174,Micronesia,Australia
175,Nauru,Australia
176,New Zealand,Australia
177,Palau,Australia
178,Papua New Guinea,Australia
179,Samoa,Australia
180,Solomon Islands,Australia
181,Tonga,Australia
182,Tuvalu,Australia
183,Vanuatu,Australia
184,Argentina,South America
185,Bolivia,South America
186,Brazil,South America
187,Chile,South America
188,Colombia,South America
189,Ecuador,South America
190,Guyana,South America
191,Paraguay,South America
192,Peru,South America
193,Suriname,South America
194,Uruguay,South America
195,Venezuela,South America
